-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 02/10/2019 through 08/03/2019 in UTC
Location: Latitude  8.8613   Longitude -83.4743 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 325.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
-END HEADER-
YEAR,MO,DY,HR,T2M,PRECTOTCORR
2019,2,21,16,30.14,0.01
2019,2,21,17,30.69,0.0
2019,2,21,18,30.77,0.01
2019,2,21,19,30.48,0.0
2019,2,21,20,29.85,0.0
2019,2,21,21,29.08,0.01
2019,2,21,22,28.2,0.02
2019,2,21,23,27.27,0.17
2019,2,22,0,26.54,3.34
2019,2,22,1,25.98,6.62
2019,2,22,2,25.81,12.63
2019,2,22,3,25.8,8.9
2019,2,22,4,25.84,4.88
2019,2,22,5,25.84,2.91
2019,2,22,6,25.87,2.67
2019,2,22,7,25.95,3.52
2019,2,22,8,26.02,3.26
2019,2,22,9,26.03,3.66
2019,2,22,10,25.94,2.95
2019,2,22,11,25.74,2.24
2019,2,22,12,25.78,2.22
2019,2,22,13,26.2,2.68
2019,2,22,14,27.28,2.97
2019,2,22,15,28.85,1.96
2019,2,22,16,29.93,1.38
2019,2,22,17,30.58,1.58
2019,2,22,18,30.81,2.25
2019,2,22,19,30.51,3.27
2019,2,22,20,29.92,3.92
2019,2,22,21,29.2,4.53
2019,2,22,22,28.34,6.37
2019,2,22,23,27.38,5.38
2019,2,23,0,26.91,1.22
2019,2,23,1,26.97,1.04
2019,2,23,2,27.01,1.21
2019,2,23,3,26.98,1.1
2019,2,23,4,26.89,1.46
2019,2,23,5,26.65,2.44
2019,2,23,6,26.33,2.63
2019,2,23,7,26.15,4.03
2019,2,23,8,26.0,4.24
2019,2,23,9,25.93,3.26
2019,2,23,10,25.92,2.16
2019,2,23,11,25.9,2.24
2019,2,23,12,26.07,2.17
2019,2,23,13,26.38,2.46
2019,2,23,14,27.75,2.1
2019,2,23,15,29.24,1.52
2019,2,23,16,30.14,1.08
2019,2,23,17,30.6,1.07
2019,2,23,18,30.62,1.3
2019,2,23,19,30.22,1.79
2019,2,23,20,29.53,2.8
2019,2,23,21,28.63,4.41
2019,2,23,22,27.7,6.37
2019,2,23,23,26.83,6.79
2019,2,24,0,26.39,11.75
2019,2,24,1,26.32,11.78
2019,2,24,2,26.38,10.55
2019,2,24,3,26.5,11.45
2019,2,24,4,26.51,10.43
2019,2,24,5,26.33,9.52
2019,2,24,6,26.08,9.4
2019,2,24,7,25.94,7.65
2019,2,24,8,25.87,6.26
2019,2,24,9,25.75,5.38
2019,2,24,10,25.66,4.03
2019,2,24,11,25.58,3.74
2019,2,24,12,25.77,3.61
2019,2,24,13,26.46,3.22
2019,2,24,14,27.59,2.9
2019,2,24,15,29.41,2.2
2019,2,24,16,30.68,1.75
2019,2,24,17,31.36,2.57
2019,2,24,18,31.46,3.21
2019,2,24,19,31.18,4.85
2019,2,24,20,30.64,6.96
2019,2,24,21,29.81,14.12
2019,2,24,22,28.66,19.72
2019,2,24,23,27.46,24.76
2019,2,25,0,26.86,13.2
2019,2,25,1,26.68,12.94
2019,2,25,2,26.41,12.19
2019,2,25,3,26.08,12.33
2019,2,25,4,25.75,11.04
2019,2,25,5,25.42,9.83
2019,2,25,6,25.29,7.76
2019,2,25,7,25.28,5.09
2019,2,25,8,25.38,3.31
2019,2,25,9,25.55,2.05
2019,2,25,10,25.66,1.88
2019,2,25,11,25.59,2.08
2019,2,25,12,25.62,2.3
2019,2,25,13,26.08,2.67
2019,2,25,14,27.0,2.74
2019,2,25,15,28.37,5.08
2019,2,25,16,29.05,6.94
2019,2,25,17,29.31,8.75
2019,2,25,18,29.29,11.49
2019,2,25,19,29.03,13.3
2019,2,25,20,28.67,15.2
2019,2,25,21,28.22,14.75
2019,2,25,22,27.56,13.01
2019,2,25,23,26.57,10.68
2019,2,26,0,26.03,15.13
2019,2,26,1,25.7,11.9
2019,2,26,2,25.43,8.39
2019,2,26,3,25.39,8.14
2019,2,26,4,25.35,6.47
2019,2,26,5,25.29,5.58
2019,2,26,6,25.13,4.88
2019,2,26,7,24.93,3.72
2019,2,26,8,24.73,3.11
2019,2,26,9,24.65,2.43
2019,2,26,10,24.58,1.8
2019,2,26,11,24.57,1.5
2019,2,26,12,24.89,1.29
2019,2,26,13,25.82,1.22
2019,2,26,14,27.07,0.94
2019,2,26,15,28.67,0.71
2019,2,26,16,29.8,0.68
2019,2,26,17,30.54,0.83
2019,2,26,18,30.83,0.83
2019,2,26,19,30.6,1.21
2019,2,26,20,30.09,1.48
2019,2,26,21,29.43,1.51
2019,2,26,22,28.57,2.0
2019,2,26,23,27.37,3.78
2019,2,27,0,26.35,2.05
2019,2,27,1,25.76,1.89
2019,2,27,2,25.34,1.43
2019,2,27,3,25.02,1.45
2019,2,27,4,24.79,1.41
2019,2,27,5,24.62,1.69
2019,2,27,6,24.56,1.05
2019,2,27,7,24.59,0.57
2019,2,27,8,24.6,0.43
2019,2,27,9,24.7,0.25
2019,2,27,10,24.87,0.26
2019,2,27,11,25.13,0.27
2019,2,27,12,25.55,0.22
2019,2,27,13,26.44,0.27
2019,2,27,14,27.93,0.22
2019,2,27,15,29.13,0.38
2019,2,27,16,29.97,0.45
2019,2,27,17,30.41,0.52
2019,2,27,18,30.44,0.66
2019,2,27,19,30.12,0.85
2019,2,27,20,29.47,1.14
2019,2,27,21,28.64,1.3
2019,2,27,22,27.8,1.86
2019,2,27,23,26.96,2.41
2019,2,28,0,26.36,2.87
2019,2,28,1,26.0,3.08
2019,2,28,2,25.82,3.36
2019,2,28,3,25.6,2.99
2019,2,28,4,25.43,1.98
2019,2,28,5,25.26,1.18
2019,2,28,6,25.1,0.85
2019,2,28,7,24.92,0.51
2019,2,28,8,24.72,0.34
2019,2,28,9,24.56,0.18
2019,2,28,10,24.45,0.18
2019,2,28,11,24.41,0.15
2019,2,28,12,24.91,0.09
2019,2,28,13,26.21,0.07
2019,2,28,14,28.08,0.05
2019,2,28,15,29.79,0.05
2019,2,28,16,30.74,0.05
2019,2,28,17,31.08,0.08
2019,2,28,18,30.96,0.13
2019,2,28,19,30.54,0.38
2019,2,28,20,29.81,0.47
2019,2,28,21,29.01,0.84
2019,2,28,22,28.17,1.51
2019,2,28,23,27.21,2.44
2019,3,1,0,26.5,2.54
2019,3,1,1,26.3,3.18
2019,3,1,2,26.33,2.29
2019,3,1,3,26.38,2.71
2019,3,1,4,26.29,2.9
2019,3,1,5,26.07,2.19
2019,3,1,6,25.79,2.31
2019,3,1,7,25.51,2.27
2019,3,1,8,25.25,2.69
2019,3,1,9,25.12,1.56
2019,3,1,10,25.06,0.52
2019,3,1,11,24.99,0.32
2019,3,1,12,25.33,0.21
2019,3,1,13,26.3,0.13
2019,3,1,14,27.95,0.09
2019,3,1,15,29.82,0.06
2019,3,1,16,30.82,0.04
2019,3,1,17,31.16,0.06
2019,3,1,18,31.09,0.06
2019,3,1,19,30.63,0.1
2019,3,1,20,29.97,0.12
2019,3,1,21,29.23,0.15
2019,3,1,22,28.4,0.18
2019,3,1,23,27.55,0.27
2019,3,2,0,26.92,0.27
2019,3,2,1,26.53,0.22
2019,3,2,2,26.24,0.17
2019,3,2,3,26.15,0.31
2019,3,2,4,26.19,0.45
2019,3,2,5,26.19,0.39
2019,3,2,6,26.13,0.24
2019,3,2,7,26.07,0.15
2019,3,2,8,26.01,0.26
2019,3,2,9,25.91,0.18
2019,3,2,10,25.77,0.12
2019,3,2,11,25.6,0.09
2019,3,2,12,25.74,0.12
2019,3,2,13,26.87,0.29
2019,3,2,14,28.27,0.51
2019,3,2,15,29.55,0.32
2019,3,2,16,30.36,0.2
2019,3,2,17,30.69,0.23
2019,3,2,18,30.69,0.17
2019,3,2,19,30.27,0.14
2019,3,2,20,29.66,0.21
2019,3,2,21,28.96,0.33
2019,3,2,22,28.26,0.71
2019,3,2,23,27.47,0.85
2019,3,3,0,26.81,3.13
2019,3,3,1,26.42,3.66
2019,3,3,2,26.23,3.68
2019,3,3,3,26.14,4.12
2019,3,3,4,26.07,4.11
2019,3,3,5,25.98,4.27
2019,3,3,6,25.9,4.49
2019,3,3,7,25.86,3.74
2019,3,3,8,25.83,3.1
2019,3,3,9,25.74,2.38
2019,3,3,10,25.68,2.45
2019,3,3,11,25.6,2.56
2019,3,3,12,25.71,2.36
2019,3,3,13,25.97,2.12
2019,3,3,14,27.13,2.24
2019,3,3,15,28.58,1.36
2019,3,3,16,29.59,1.02
2019,3,3,17,30.18,0.86
2019,3,3,18,30.35,0.53
2019,3,3,19,29.98,0.61
2019,3,3,20,29.38,0.65
2019,3,3,21,28.6,0.83
2019,3,3,22,27.86,0.92
2019,3,3,23,27.12,0.9
2019,3,4,0,26.59,0.8
2019,3,4,1,26.49,0.81
2019,3,4,2,26.46,0.96
2019,3,4,3,26.36,0.77
2019,3,4,4,26.26,0.69
2019,3,4,5,26.1,0.63
2019,3,4,6,25.99,0.63
2019,3,4,7,25.94,0.52
2019,3,4,8,25.8,0.56
2019,3,4,9,25.65,0.74
2019,3,4,10,25.57,0.64
2019,3,4,11,25.48,0.77
2019,3,4,12,25.72,0.84
2019,3,4,13,26.68,0.73
2019,3,4,14,28.31,1.06
2019,3,4,15,29.55,1.03
2019,3,4,16,30.3,1.29
2019,3,4,17,30.61,1.1
2019,3,4,18,30.5,1.24
2019,3,4,19,29.96,1.5
2019,3,4,20,29.1,1.43
2019,3,4,21,28.26,1.78
2019,3,4,22,27.52,2.14
2019,3,4,23,26.8,2.34
2019,3,5,0,26.34,1.9
2019,3,5,1,26.39,2.06
2019,3,5,2,26.31,2.16
2019,3,5,3,26.28,2.11
2019,3,5,4,26.13,2.47
2019,3,5,5,25.96,2.45
2019,3,5,6,25.77,2.26
2019,3,5,7,25.52,2.0
2019,3,5,8,25.26,1.68
2019,3,5,9,25.02,1.69
2019,3,5,10,24.9,1.21
2019,3,5,11,24.83,0.81
2019,3,5,12,25.08,0.73
2019,3,5,13,26.1,0.52
2019,3,5,14,27.89,0.36
2019,3,5,15,29.86,0.33
2019,3,5,16,31.1,0.25
2019,3,5,17,31.72,0.31
2019,3,5,18,31.83,0.4
2019,3,5,19,31.54,0.61
2019,3,5,20,31.0,0.5
2019,3,5,21,30.18,0.54
2019,3,5,22,29.26,0.86
2019,3,5,23,28.19,1.35
2019,3,6,0,27.43,14.59
2019,3,6,1,27.14,8.28
2019,3,6,2,26.88,4.38
2019,3,6,3,26.6,3.68
2019,3,6,4,26.32,2.83
2019,3,6,5,26.03,2.38
2019,3,6,6,25.74,2.22
2019,3,6,7,25.49,1.94
2019,3,6,8,25.19,1.49
2019,3,6,9,24.99,1.09
2019,3,6,10,24.77,1.02
2019,3,6,11,24.58,0.9
2019,3,6,12,24.93,0.72
2019,3,6,13,26.1,0.53
2019,3,6,14,27.86,0.41
2019,3,6,15,29.58,0.3
2019,3,6,16,31.03,0.35
2019,3,6,17,32.02,0.4
2019,3,6,18,32.24,0.8
2019,3,6,19,32.05,1.39
2019,3,6,20,31.61,2.76
2019,3,6,21,30.79,3.77
2019,3,6,22,29.78,3.75
2019,3,6,23,28.47,4.7
2019,3,7,0,27.4,0.41
2019,3,7,1,27.06,0.34
2019,3,7,2,26.89,0.54
2019,3,7,3,26.75,0.77
2019,3,7,4,26.57,0.73
2019,3,7,5,26.46,0.89
2019,3,7,6,26.39,1.03
2019,3,7,7,26.27,0.9
2019,3,7,8,26.09,1.06
2019,3,7,9,25.99,0.87
2019,3,7,10,25.9,0.88
2019,3,7,11,25.77,0.95
2019,3,7,12,25.95,0.68
2019,3,7,13,27.07,0.41
2019,3,7,14,28.6,0.14
2019,3,7,15,30.0,0.08
2019,3,7,16,31.24,0.08
2019,3,7,17,32.03,0.11
2019,3,7,18,32.28,0.16
2019,3,7,19,32.36,0.19
2019,3,7,20,32.18,0.25
2019,3,7,21,31.72,0.26
2019,3,7,22,30.98,0.28
2019,3,7,23,29.75,0.33
2019,3,8,0,28.51,1.96
2019,3,8,1,27.77,1.63
2019,3,8,2,27.48,1.58
2019,3,8,3,27.12,1.31
2019,3,8,4,26.78,1.14
2019,3,8,5,26.5,0.98
2019,3,8,6,26.21,0.85
2019,3,8,7,25.94,0.8
2019,3,8,8,25.7,0.86
2019,3,8,9,25.54,0.7
2019,3,8,10,25.45,0.63
2019,3,8,11,25.34,0.53
2019,3,8,12,25.74,0.45
2019,3,8,13,26.93,0.35
2019,3,8,14,28.6,0.23
2019,3,8,15,30.41,0.12
2019,3,8,16,31.85,0.07
2019,3,8,17,32.43,0.05
2019,3,8,18,32.73,0.06
2019,3,8,19,32.76,0.12
2019,3,8,20,32.27,0.09
2019,3,8,21,31.56,0.25
2019,3,8,22,30.56,0.26
2019,3,8,23,29.28,0.46
2019,3,9,0,28.22,0.04
2019,3,9,1,27.53,0.04
2019,3,9,2,26.94,0.03
2019,3,9,3,26.45,0.03
2019,3,9,4,26.02,0.03
2019,3,9,5,25.6,0.03
2019,3,9,6,25.23,0.02
2019,3,9,7,24.94,0.02
2019,3,9,8,24.72,0.02
2019,3,9,9,24.55,0.02
2019,3,9,10,24.37,0.02
2019,3,9,11,24.22,0.01
2019,3,9,12,24.73,0.01
2019,3,9,13,26.29,0.01
2019,3,9,14,28.5,0.0
2019,3,9,15,30.64,0.0
2019,3,9,16,31.95,0.0
2019,3,9,17,32.52,0.0
2019,3,9,18,32.69,0.01
2019,3,9,19,32.6,0.02
2019,3,9,20,32.24,0.04
2019,3,9,21,31.58,0.06
2019,3,9,22,30.71,0.08
2019,3,9,23,29.46,0.07
2019,3,10,0,28.31,1.42
2019,3,10,1,27.61,1.22
2019,3,10,2,27.05,1.23
2019,3,10,3,26.53,1.54
2019,3,10,4,26.21,1.48
2019,3,10,5,25.94,1.37
2019,3,10,6,25.7,1.28
2019,3,10,7,25.51,1.6
2019,3,10,8,25.34,1.44
2019,3,10,9,25.21,0.87
2019,3,10,10,25.14,0.67
2019,3,10,11,25.14,0.55
2019,3,10,12,25.67,0.49
2019,3,10,13,26.96,0.33
2019,3,10,14,28.8,0.21
2019,3,10,15,30.64,0.14
2019,3,10,16,32.05,0.1
2019,3,10,17,32.77,0.09
2019,3,10,18,32.98,0.15
2019,3,10,19,32.74,0.24
2019,3,10,20,32.13,0.46
2019,3,10,21,31.32,0.35
2019,3,10,22,30.31,0.74
2019,3,10,23,29.07,1.09
2019,3,11,0,27.88,1.5
2019,3,11,1,26.96,2.9
2019,3,11,2,26.52,5.09
2019,3,11,3,26.31,2.91
2019,3,11,4,26.05,2.06
2019,3,11,5,25.86,1.92
2019,3,11,6,25.7,1.86
2019,3,11,7,25.57,1.94
2019,3,11,8,25.47,2.0
2019,3,11,9,25.42,1.95
2019,3,11,10,25.39,1.86
2019,3,11,11,25.37,1.81
2019,3,11,12,25.94,1.73
2019,3,11,13,27.21,1.46
2019,3,11,14,29.21,0.99
2019,3,11,15,30.95,0.91
2019,3,11,16,32.09,1.16
2019,3,11,17,32.77,1.97
2019,3,11,18,32.99,2.61
2019,3,11,19,32.76,3.04
2019,3,11,20,32.35,2.7
2019,3,11,21,31.85,1.58
2019,3,11,22,30.99,1.07
2019,3,11,23,29.86,1.17
2019,3,12,0,28.6,2.18
2019,3,12,1,27.77,2.54
2019,3,12,2,27.24,4.05
2019,3,12,3,26.99,3.76
2019,3,12,4,26.86,3.56
2019,3,12,5,26.67,3.33
2019,3,12,6,26.44,3.89
2019,3,12,7,26.17,3.56
2019,3,12,8,25.91,4.83
2019,3,12,9,25.7,2.76
2019,3,12,10,25.54,2.18
2019,3,12,11,25.39,1.99
2019,3,12,12,25.89,1.8
2019,3,12,13,27.01,1.33
2019,3,12,14,28.87,0.74
2019,3,12,15,30.61,0.54
2019,3,12,16,31.8,0.44
2019,3,12,17,32.56,0.53
2019,3,12,18,33.04,0.64
2019,3,12,19,32.84,0.56
2019,3,12,20,32.3,0.36
2019,3,12,21,31.59,0.15
2019,3,12,22,30.79,0.33
2019,3,12,23,29.55,0.78
2019,3,13,0,28.25,3.03
2019,3,13,1,27.25,5.21
2019,3,13,2,26.59,7.76
2019,3,13,3,26.12,3.77
2019,3,13,4,25.79,3.59
2019,3,13,5,25.49,3.71
2019,3,13,6,25.14,3.41
2019,3,13,7,24.78,3.18
2019,3,13,8,24.53,2.7
2019,3,13,9,24.31,2.47
2019,3,13,10,24.14,2.25
2019,3,13,11,24.0,2.27
2019,3,13,12,24.44,2.01
2019,3,13,13,25.8,0.93
2019,3,13,14,27.83,0.38
2019,3,13,15,29.91,0.12
2019,3,13,16,31.39,0.08
2019,3,13,17,32.19,0.04
2019,3,13,18,32.39,0.06
2019,3,13,19,32.24,0.11
2019,3,13,20,31.76,0.85
2019,3,13,21,30.92,0.58
2019,3,13,22,29.77,0.79
2019,3,13,23,28.35,1.6
2019,3,14,0,27.35,2.81
2019,3,14,1,26.91,3.3
2019,3,14,2,26.58,2.48
2019,3,14,3,26.32,4.08
2019,3,14,4,26.09,6.4
2019,3,14,5,25.86,4.27
2019,3,14,6,25.58,4.97
2019,3,14,7,25.24,4.03
2019,3,14,8,24.93,4.41
2019,3,14,9,24.66,2.84
2019,3,14,10,24.44,1.77
2019,3,14,11,24.24,1.58
2019,3,14,12,24.56,1.34
2019,3,14,13,25.62,0.83
2019,3,14,14,27.95,0.57
2019,3,14,15,29.95,0.24
2019,3,14,16,31.04,0.14
2019,3,14,17,31.69,0.16
2019,3,14,18,31.87,0.11
2019,3,14,19,31.62,0.08
2019,3,14,20,31.05,0.09
2019,3,14,21,30.23,0.14
2019,3,14,22,29.19,0.82
